product_id,product_name,price,description,stock_s,stock_m,stock_l,stock_xl
P001,国潮印花纯棉T恤,129,"100%新疆长绒棉，220克重磅面料，手感柔软，透气吸汗。胸前有原创设计的'龙腾'刺绣，彰显个性，领口加固处理，不易变形。",50,100,80,30
P002,都市机能冲锋裤,289,"采用三防（防水、防油、防污）科技面料。多个立体口袋设计，搭配快拆磁吸扣，兼具功能性与街头风格，适合户外与日常穿搭。",40,60,55,25
P003,复古老爹运动鞋,359,"经典厚底增高设计，拉长腿部线条。采用多种材质拼接，包括头层牛皮和网眼布，复古风格强烈，鞋底采用高弹MD材质，脚感舒适。",30,50,40,15
P004,简约帆布托特包,99,"高密度16安加厚帆布，经久耐用。内部空间巨大，设有电脑隔层，可轻松容纳15寸笔记本电脑，设计简约百搭，男女通用。",150,150,150,150
P005,智能降噪耳机Pro,699,"主动降噪深度达45dB，提供沉浸式音质体验。支持空间音频和头部追踪。单次续航8小时，配合充电仓可达30小时。支持蓝牙5.3，连接稳定。",80,80,80,80
P006,日系水洗牛仔夹克,399,"采用13.5盎司重磅赤耳丹宁布，版型挺括。经过酵素水洗工艺处理，呈现自然复古色落，五金配件为复古YKK黄铜纽扣。",35,50,45,10
P007,重磅纯色连帽卫衣,249,"450克重磅抓绒面料，保暖性能出色。帽子版型挺括，不易塌陷。落肩设计，打造慵懒街头感，适合秋冬季节穿着。",60,110,90,40
P008,飞行员太阳镜,189,"经典飞行员款式，镜片采用高清尼龙材质，100%阻隔UVA/UVB。轻质合金镜框，佩戴舒适无压力，附赠便携眼镜盒。",200,200,200,200
P009,多功能战术双肩包,329,"采用考杜拉（CORDURA）耐磨尼龙面料。主仓容量25L，外挂MOLLE系统可自由扩展配件，适合短途旅行和日常通勤。",70,70,70,70
P010,复古像素风机械键盘,499,"87键配列，节省桌面空间。搭载TTC金粉轴，手感顺滑。PBT热升华键帽，耐磨不打油。支持RGB背光和三模连接（有线、2.4G、蓝牙）。",50,50,50,50
P011,高街风水洗破洞牛仔裤,279,"采用重磅弹力牛仔布，穿着舒适不紧绷。裤身经过手工破坏、猫须、喷溅等多种工艺处理，每一条都独一无二，彰显高街风格。",40,70,60,20
P012,纯银六芒星项链,199,"吊坠和链条均采用S925纯银材质，不易过敏。六芒星吊坠经过做旧抛光处理，质感高级，链长50cm，可调节。",120,120,120,120
P013,V口切尔西短靴,459,"鞋面采用整张头层牛皮，质感细腻。经典切尔西靴型，侧面有松紧带，方便穿脱。橡胶大底，防滑耐磨。",25,40,30,10
P014,便携式蓝牙音箱,299,"小巧身形，澎湃音量。IPX7级防水，可应对泳池、海边等多种场景。10小时长效续航，支持TWS串联成立体声。",90,90,90,90
P015,美利奴羊毛冷帽,89,"100%澳洲进口美利奴羊毛，亲肤不扎人，保暖性极佳。经典翻边设计，帽型修饰脸型，有多种颜色可选。",300,300,300,300
P016,宽松版灯芯绒衬衫,189,"采用8坑条灯芯绒面料，质地厚实，复古感十足。可作为内搭或春秋季节的薄外套，非常百搭。",55,90,80,35
P017,钛合金潮流戒指,159,"采用亲肤的钛合金材质，轻便、坚固且不易引起过敏。戒指表面经过喷砂和抛光处理，呈现独特的工业风质感。",80,80,80,80
P018,三合一充电数据线,79,"一条线包含Type-C、Lightning和Micro-USB三个接头，满足所有主流设备。线身采用尼龙编织，抗拉扯，不易断裂。支持66W快充。",250,250,250,250
P019,Oversize水洗做旧T恤,159,"采用260克精梳棉，面料厚实有垂坠感。成衣经过普洗、石磨、做旧等多道工艺，呈现自然的褪色效果，每件的纹理都不同。",60,100,85,45
P020,Gore-Tex防水棒球帽,229,"帽身采用Gore-Tex科技面料，兼具防水与透气性能。全压胶工艺处理，确保雨水无法渗入。帽型经典，背后有调节带可适配不同头围。",95,95,95,95
